fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Hector Aldana,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988",3.59,38%,5.08,59%,0.93,100%,0%,0.0
Irene Aldana,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988",5.52,38%,5.97,61%,0.23,50%,84%,0.1
JJ Aldrich,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",3.76,41%,4.55,61%,0.80,40%,57%,0.0
Jose Aldo,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",3.45,45%,3.52,61%,0.57,56%,91%,0.1
Kenneth Alexander,"5' 9""",155 lbs.,,Orthodox,"Sep 25, 1977",0.88,19%,2.20,66%,4.71,26%,0%,0.0
Jim Alers,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986",2.90,40%,4.38,56%,2.26,41%,80%,0.3
Houston Alexander,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972",3.06,54%,3.20,52%,1.19,57%,33%,0.0
John Alessio,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979",2.10,39%,2.91,54%,1.85,38%,70%,1.2
Marcio Alexandre Junior,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989",1.61,45%,2.89,42%,0.35,20%,66%,0.7
Olaf Alfonso,"6' 2""",170 lbs.,,Orthodox,"Aug 06, 1974",1.65,38%,4.77,53%,0.37,7%,22%,0.7
Pablo Alfonso,"5' 8""",145 lbs.,,,"May 09, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Levi Alford,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Bill Algeo,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989",6.80,56%,5.31,38%,0.67,33%,62%,0.0
Royce Alger,"5' 10""",199 lbs.,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Amir Aliakbari,"6' 3""",250 lbs.,,,"Jun 10, 1984",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Sultan Aliev,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984",1.41,45%,2.20,56%,1.76,38%,100%,0.0
John Allan,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 22, 1993",2.95,43%,4.01,52%,1.94,71%,50%,1.2
Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",3.19,41%,2.00,67%,1.36,52%,76%,0.5
George Allen,"6' 2""",205 lbs.,,Open Stance,"Jan 13, 1967",0.80,38%,3.10,43%,0.00,0%,50%,0.0
Ben Alloway,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981",1.28,49%,1.90,59%,0.62,50%,26%,0.0
Brendan Allen,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",3.55,59%,4.57,39%,1.17,37%,50%,2.0
Ricardo Almeida,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976",2.02,49%,1.20,61%,3.74,38%,31%,1.2
Magno Almeida,"6' 0""",155 lbs.,,,"Jun 06, 1985",1.67,36%,2.60,41%,0.00,0%,40%,5.0
Thomas Almeida,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991",5.39,44%,4.69,64%,0.00,0%,75%,0.0
Ericka Almeida,"5' 6""",115 lbs.,,Orthodox,"Mar 05, 1989",1.07,39%,3.33,43%,0.50,33%,37%,0.0
Mauricio Alonso,"6' 2""",170 lbs.,,,"Feb 27, 1980",5.74,34%,1.91,67%,0.00,0%,0%,0.0
Estefani Almeida,"5' 4""",125 lbs.,,Orthodox,"Oct 17, 1988",3.13,37%,6.07,42%,0.00,0%,0%,0.0
Sarah Alpar,"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991",2.11,54%,4.76,32%,2.69,28%,50%,0.7
Rico Altamirano,"5' 10""",170 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ali AlQaisi,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990",2.43,42%,1.97,56%,3.50,29%,60%,1.0
Mike Altman,"5' 10""",185 lbs.,,Orthodox,,1.56,20%,2.08,75%,0.00,0%,0%,0.0
Sean Alvarez,"6' 0""",235 lbs.,,Orthodox,"Jul 14, 1971",0.89,37%,3.25,47%,0.00,0%,0%,0.0
Jaime Alvarez,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988",2.73,40%,4.53,56%,1.00,33%,50%,0.0
Joel Alvarez,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1994",2.84,37%,3.31,53%,0.00,0%,0%,1.6
Eddie Alvarez,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984",4.32,41%,4.39,55%,2.92,36%,92%,0.5
Anthony Alves,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Amilcar Alves,"6' 0""",170 lbs.,,Southpaw,"Aug 08, 1988",0.50,46%,2.02,30%,0.00,0%,53%,0.0
Thiago Alves,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",3.73,41%,3.42,62%,0.71,60%,63%,0.3
Rafael Alves,"5' 8""",145 lbs.,"68""",Orthodox,"Oct 10, 1990",2.02,45%,3.66,59%,0.00,0%,100%,1.9
Warlley Alves,"5' 11""",170 lbs.,"72""",Orthodox,"Jan 04, 1991",3.09,47%,3.62,50%,1.48,54%,75%,1.0
Andre Amado,"6' 0""",154 lbs.,,Orthodox,,2.27,24%,5.91,63%,0.00,0%,20%,0.0
Maiara Amanajas dos Santos,"5' 5""",115 lbs.,,Southpaw,"Jul 11, 1987",5.53,35%,24.47,33%,0.00,0%,100%,0.0
Adlan Amagov,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986",3.29,47%,0.82,78%,5.84,56%,100%,0.0
Sam Alvey,"6' 2""",205 lbs.,"75""",Southpaw,"May 06, 1986",3.17,44%,3.26,55%,0.08,16%,82%,0.1
Jimmy Ambriz,"6' 2""",315 lbs.,,Southpaw,"Jan 26, 1970",0.83,29%,3.76,40%,3.13,57%,100%,0.8
Chris Amarante,,185 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
JJ Ambrose,"5' 10""",170 lbs.,,Orthodox,,3.16,69%,6.32,33%,0.00,0%,50%,0.0
Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988",0.52,28%,3.14,37%,0.00,0%,0%,0.0
Makwan Amirkhani,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",1.42,44%,2.63,51%,3.37,37%,57%,1.4
Bertrand Amoussou,"5' 8""",190 lbs.,,Orthodox,,6.75,39%,2.01,83%,0.00,0%,0%,0.0
Eryk Anders,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987",3.23,46%,4.15,51%,1.62,35%,80%,0.1
Andy Anderson,"5' 6""",240 lbs.,,,"Jul 16, 1974",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Karl Amoussou,"5' 11""",185 lbs.,,Orthodox,"Nov 21, 1985",1.47,34%,2.67,54%,0.00,0%,25%,1.0
Matt Andersen,"6' 2""",230 lbs.,,Southpaw,"May 29, 1971",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Lowell Anderson,"5' 6""",160 lbs.,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Derek Anderson,"6' 0""",155 lbs.,,,"Feb 02, 1990",3.97,37%,3.08,61%,0.34,14%,60%,0.0
Corey Anderson,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.43,46%,2.22,59%,4.89,50%,83%,0.0
Megan Anderson,"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990",1.76,46%,3.35,37%,0.52,25%,53%,0.5
Viscardi Andrade,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",3.26,42%,2.77,63%,1.93,50%,66%,0.3
Alex Andrade,"5' 11""",200 lbs.,,Orthodox,"May 14, 1974",0.20,36%,2.60,53%,0.00,0%,25%,0.8
Jermaine Andre,"5' 7""",200 lbs.,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jessica Andrade,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",6.38,49%,5.26,53%,3.11,57%,76%,0.4
Reese Andy,"6' 0""",205 lbs.,,Orthodox,"Mar 31, 1973",2.87,50%,3.50,58%,0.67,20%,40%,0.0
Dylan Andrews,"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979",2.21,50%,2.72,46%,2.83,50%,57%,0.4
Julius Anglickas,"6' 3""",205 lbs.,,Orthodox,"Jul 23, 1991",4.62,78%,1.86,50%,4.47,50%,60%,1.1
Collin Anglin,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993",5.87,55%,3.47,58%,3.00,75%,100%,0.0
Magomed Ankalaev,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",3.41,53%,1.78,65%,1.18,33%,85%,0.0
Yoji Anjo,"5' 11""",205 lbs.,,Orthodox,"Mar 28, 1967",0.00,0%,3.13,25%,0.00,0%,0%,0.0
Nina Ansaroff,"5' 5""",115 lbs.,"64""",Orthodox,"Dec 03, 1985",4.81,47%,3.55,54%,0.29,40%,77%,0.6
Angelo Antonio,,205 lbs.,,Orthodox,,1.09,50%,7.64,50%,0.00,0%,0%,0.0
Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982",5.73,52%,5.00,69%,0.00,0%,100%,0.0
Gadzhimurad Antigulov,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",2.08,55%,4.21,40%,5.08,36%,0%,1.4
Azunna Anyanwu,"6' 1""",251 lbs.,,Orthodox,"Aug 05, 1981",2.47,42%,2.47,69%,0.65,100%,0%,0.0
Shinsho Anzai,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",3.23,58%,3.75,45%,1.83,16%,75%,0.0
Josh Appelt,"5' 10""",255 lbs.,,Southpaw,"Jun 19, 1983",1.35,40%,11.50,32%,0.00,0%,33%,0.0
Aori Qileng,"5' 7""",125 lbs.,,,"Jun 25, 1993",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Kenji Arai,"5' 10""",145 lbs.,,Southpaw,"Oct 05, 1979",8.79,27%,10.29,39%,0.00,0%,0%,0.0
Erik Apple,"6' 0""",170 lbs.,,Orthodox,"Aug 26, 1977",0.00,0%,0.54,81%,0.00,0%,0%,8.1
Romie Aram,"5' 10""",170 lbs.,,Orthodox,"Dec 02, 1977",1.80,35%,2.83,50%,2.50,62%,83%,0.0
Shinya Aoki,"5' 11""",154 lbs.,,Southpaw,"May 09, 1983",0.97,58%,1.25,58%,2.54,41%,60%,4.0
Igor Araujo,"6' 1""",170 lbs.,"77""",Orthodox,"Dec 06, 1980",1.52,42%,2.86,49%,0.86,15%,22%,0.6
Felipe Arantes,"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",2.37,45%,2.66,64%,0.93,47%,41%,0.7
Julio Arce,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",4.25,36%,2.87,67%,0.58,30%,93%,0.6
Viviane Araujo,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 21, 1986",4.97,48%,4.84,60%,2.33,64%,94%,0.2
Art Arciniega,"5' 8""",145 lbs.,,,"Oct 15, 1981",1.53,46%,2.73,51%,0.00,0%,50%,1.0
Tristan Arenal,,155 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Joey Armstrong,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",3.48,44%,2.83,57%,0.47,36%,78%,0.3
Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",2.32,45%,4.01,56%,1.07,100%,33%,0.4
Ricardo Arona,"5' 11""",205 lbs.,,Orthodox,"Jul 17, 1978",1.66,48%,1.15,57%,2.41,48%,58%,1.2
Chalid Arrab,"5' 11""",205 lbs.,,Orthodox,"May 28, 1975",1.56,34%,1.63,56%,3.05,75%,37%,1.0
Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991",4.52,41%,6.38,62%,0.44,18%,57%,0.2
Matt Arroyo,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 01, 1982",1.62,47%,2.01,58%,2.12,36%,100%,5.3
Antonio Arroyo,"6' 3""",185 lbs.,"73""",Orthodox,"Jul 01, 1989",3.08,70%,1.72,44%,1.40,41%,32%,0.3
Gilles Arsene,"5' 9""",190 lbs.,,Southpaw,,0.06,10%,2.45,32%,0.00,0%,0%,0.0
Veta Arteaga,"5' 7""",125 lbs.,,,,3.20,36%,1.92,65%,0.00,0%,40%,0.0
Teddy Ash,"6' 1""",185 lbs.,"73""",Switch,"Dec 27, 1989",7.27,61%,6.80,28%,0.00,0%,100%,0.0
Cesar Arzamendia,"5' 11""",155 lbs.,,Orthodox,"Jan 31, 1991",5.37,45%,5.20,56%,7.32,75%,0%,2.4
Askar Askar,"5' 7""",145 lbs.,"69""",Orthodox,"Aug 19, 1994",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Arman Ashimov,"5' 6""",125 lbs.,,,"Jan 14, 1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Askar Askarov,"5' 6""",125 lbs.,"67""",Orthodox,"Oct 09, 1992",3.37,55%,2.65,56%,2.75,28%,64%,0.0
Cyril Asker,"6' 0""",247 lbs.,"74""",Orthodox,"Dec 24, 1985",3.35,39%,5.82,35%,4.41,62%,100%,0.9
Scott Askham,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988",3.03,46%,3.52,52%,0.44,18%,65%,0.7
Ben Askren,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984",3.64,49%,5.66,36%,4.33,55%,0%,0.9
Ibo Aslan,"6' 3""",205 lbs.,,,"Apr 23, 1996",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tom Aspinall,"6' 5""",256 lbs.,"78""",Orthodox,"Apr 11, 1993",7.43,66%,3.06,65%,3.54,100%,0%,1.8
Bruno Assis,"6' 2""",185 lbs.,,Orthodox,"May 23, 1992",1.27,43%,3.20,36%,2.00,50%,66%,1.0
Junior Assuncao,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 24, 1981",3.31,62%,2.06,44%,2.43,24%,66%,0.7
Raphael Assuncao,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",3.26,40%,2.33,68%,1.48,38%,80%,0.3
Bazigit Atajev,"6' 1""",230 lbs.,,Orthodox,,0.87,41%,3.14,49%,1.00,33%,0%,0.0
Rich Attonito,"5' 10""",170 lbs.,"72""",Orthodox,"Jun 16, 1977",2.28,47%,2.13,59%,0.74,37%,75%,0.0
Pat Audinwood,"6' 0""",155 lbs.,,Orthodox,"Apr 16, 1986",1.17,12%,4.31,41%,0.80,50%,0%,0.0
Olivier Aubin-Mercier,"5' 9""",155 lbs.,"70""",Southpaw,"Feb 23, 1989",2.48,51%,2.97,55%,2.36,33%,70%,0.5
Jose Augusto,"6' 3""",251 lbs.,,,"Mar 28, 1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Marcus Aurelio,"5' 10""",155 lbs.,"74""",Orthodox,"Aug 18, 1973",1.42,33%,2.27,59%,1.69,27%,27%,1.3
David Avellan,"5' 9""",185 lbs.,,Orthodox,,3.33,25%,10.00,57%,0.00,0%,0%,0.0
Levi Avera,"6' 1""",170 lbs.,,,"May 17, 1982",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Blas Avena,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 30, 1983",2.34,47%,3.36,43%,2.37,80%,50%,1.8
Anthony Avila,"5' 7""",145 lbs.,,,"Dec 29, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Julia Avila,"5' 7""",135 lbs.,"68""",Orthodox,"May 11, 1988",3.10,41%,2.90,54%,0.49,50%,60%,0.0
Chris Avila,"5' 10""",145 lbs.,,Orthodox,"Jan 16, 1993",2.37,30%,4.17,48%,0.00,0%,46%,0.0
Saad Awad,"5' 11""",155 lbs.,,,"Jun 07, 1983",2.13,26%,1.87,60%,0.50,16%,100%,0.5
Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986",3.20,37%,1.27,57%,1.00,100%,25%,0.0
Javy Ayala,"6' 1""",265 lbs.,,,"Aug 20, 1988",0.83,25%,5.00,33%,0.00,0%,0%,0.0
Jessin Ayari,"6' 0""",155 lbs.,"73""",Orthodox,"May 31, 1992",3.53,37%,3.59,58%,0.00,0%,50%,0.3
Luiz Azeredo,"5' 9""",154 lbs.,,Orthodox,"Jun 10, 1976",2.16,39%,2.76,57%,1.07,50%,45%,0.3
Ottman Azaitar,"5' 8""",155 lbs.,"71""",Switch,"Feb 20, 1990",8.43,57%,1.76,67%,0.00,0%,100%,0.0
Luciano Azevedo,"6' 3""",161 lbs.,,Orthodox,"Jun 25, 1981",0.76,45%,1.97,27%,2.28,11%,0%,0.0
Hunter Azure,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 02, 1992",4.17,52%,1.99,62%,2.52,45%,76%,1.4
Niklas Backstrom,"6' 1""",145 lbs.,,Orthodox,"Aug 22, 1989",1.12,41%,3.65,40%,2.92,80%,72%,2.2
Izabela Badurek,"5' 5""",115 lbs.,,Orthodox,"Jul 11, 1991",3.74,71%,4.90,32%,1.75,12%,100%,0.0
Miguel Baeza,"6' 2""",170 lbs.,"74""",Orthodox,"Aug 23, 1992",4.64,55%,3.89,50%,0.80,40%,100%,1.2
Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985",2.85,42%,3.09,52%,2.51,36%,65%,0.3
Seth Baczynski,"6' 3""",170 lbs.,"75""",Orthodox,"Oct 26, 1981",3.08,31%,3.14,51%,0.89,16%,48%,0.8
Ryan Bader,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 07, 1983",2.82,43%,1.39,71%,3.37,44%,80%,0.4
Mehdi Baghdad,"6' 1""",155 lbs.,,Orthodox,"Apr 13, 1985",3.13,30%,4.56,46%,0.00,0%,33%,0.0
Melsik Baghdasaryan,"5' 9""",145 lbs.,"70""",Southpaw,"Jan 28, 1992",6.80,64%,3.80,53%,0.00,0%,75%,0.0
Siyar Bahadurzada,"5' 11""",170 lbs.,"73""",Orthodox,"Apr 17, 1984",2.91,40%,3.23,49%,1.32,61%,62%,0.3
Ignacio Bahamondes,"6' 3""",170 lbs.,"75""",Orthodox,"Aug 27, 1997",8.78,54%,2.66,67%,0.00,0%,100%,0.0
Stephen Banaszak,"6' 0""",145 lbs.,,,"Dec 07, 1990",4.20,47%,1.15,66%,0.00,0%,100%,1.9
Jordan Bailey,"5' 9""",145 lbs.,,,,1.74,40%,0.29,0%,4.35,100%,0%,4.3
Bryan Baker,"6' 3""",185 lbs.,,Orthodox,"Oct 13, 1985",1.78,52%,2.83,45%,0.44,50%,37%,0.9
Oluwale Bamgbose,"5' 11""",185 lbs.,"78""",Switch,"Aug 04, 1987",2.45,48%,2.70,55%,0.94,33%,37%,0.0
Shamar Bailey,"5' 9""",155 lbs.,"75""",Southpaw,"Sep 22, 1982",1.56,20%,3.91,69%,1.50,33%,37%,0.0
Scott Baker,"6' 0""",210 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Marcin Bandel,"5' 10""",155 lbs.,,Orthodox,"Oct 10, 1989",0.79,50%,5.26,23%,0.00,0%,0%,0.0
Humberto Bandenay,"5' 11""",145 lbs.,"71""",Southpaw,"Sep 04, 1994",2.22,41%,4.79,41%,2.90,46%,62%,0.5
Tae Hyun Bang,"5' 9""",155 lbs.,"71""",Switch,"Apr 15, 1983",2.72,38%,2.07,66%,0.49,33%,57%,0.5
Maycee Barber,"5' 5""",125 lbs.,"65""",Switch,"May 18, 1998",5.21,52%,3.00,50%,1.44,40%,80%,0.2
Yohan Banks,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Junior Barata,"5' 10""",170 lbs.,,Orthodox,"Jan 25, 1982",4.03,33%,8.46,34%,0.00,0%,0%,0.0
Antonio Banuelos,"5' 5""",135 lbs.,"63""",Orthodox,"Sep 23, 1979",2.69,33%,3.15,58%,1.62,62%,86%,0.4
Bryan Barberena,"6' 0""",170 lbs.,"72""",Southpaw,"May 03, 1989",5.48,48%,4.70,45%,0.23,28%,60%,0.5
Renan Barao,"5' 6""",145 lbs.,"70""",Orthodox,"Jan 31, 1987",3.78,36%,3.90,57%,1.49,41%,91%,0.5
Edson Barboza,"5' 11""",145 lbs.,"75""",Orthodox,"Jan 21, 1986",3.98,43%,4.03,60%,0.44,44%,78%,0.1
Nick Barnes,"5' 11""",170 lbs.,,,,2.86,29%,8.93,51%,5.36,100%,100%,5.4
James Barnes,"5' 8""",145 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Raoni Barcelos,"5' 7""",135 lbs.,"67""",Orthodox,"May 01, 1987",5.59,52%,4.17,67%,2.23,56%,85%,0.7
Luke Barnatt,"6' 6""",185 lbs.,"77""",Orthodox,"Apr 13, 1988",4.43,36%,3.87,59%,0.63,42%,63%,0.4
Chris Barnhizer,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
