R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_REV;B_REV;R_CTRL;B_CTRL;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Manel Kape;Matheus Nicolau;0;0;61 of 150;55 of 102;40%;53%;73 of 165;76 of 132;0 of 0;2 of 9;---;22%;0;1;0;0;0:38;2:31;37 of 120;27 of 66;10 of 16;21 of 26;14 of 14;7 of 10;58 of 145;50 of 96;1 of 2;2 of 2;2 of 3;3 of 4;Decision - Split;3;5:00;3 Rnd (5-5-5);;March 13, 2021;Las Vegas, Nevada, USA;Flyweight Bout;Matheus Nicolau
Misha Cirkunov;Ryan Spann;0;1;5 of 18;16 of 29;27%;55%;5 of 18;16 of 29;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:13;5 of 18;14 of 27;0 of 0;2 of 2;0 of 0;0 of 0;5 of 18;4 of 13;0 of 0;0 of 0;0 of 0;12 of 16;KO/TKO;1;1:11;3 Rnd (5-5-5);Mark Smith;March 13, 2021;Las Vegas, Nevada, USA;Light Heavyweight Bout;Ryan Spann
Leon Edwards;Belal Muhammad;0;0;19 of 39;8 of 26;48%;30%;20 of 40;14 of 32;0 of 1;0 of 0;0%;---;0;0;0;0;0:19;0:33;10 of 29;7 of 23;5 of 6;1 of 3;4 of 4;0 of 0;19 of 38;6 of 23;0 of 1;2 of 3;0 of 0;0 of 0;Could Not Continue;2;0:18;5 Rnd (5-5-5-5-5);Herb Dean;March 13, 2021;Las Vegas, Nevada, USA;Welterweight Bout;
Charles Jourdain;Marcelo Rojo;2;0;106 of 220;74 of 204;48%;36%;128 of 248;80 of 211;0 of 1;1 of 2;0%;50%;0;0;0;0;2:57;0:28;68 of 167;25 of 146;21 of 35;22 of 29;17 of 18;27 of 29;73 of 163;63 of 187;14 of 18;11 of 17;19 of 39;0 of 0;KO/TKO;3;4:31;3 Rnd (5-5-5);Mark Smith;March 13, 2021;Las Vegas, Nevada, USA;Featherweight Bout;Charles Jourdain
Eryk Anders;Darren Stewart;1;0;43 of 63;15 of 42;68%;35%;58 of 79;21 of 51;3 of 7;0 of 0;42%;---;0;0;0;0;2:35;0:00;38 of 57;7 of 32;3 of 3;2 of 2;2 of 3;6 of 8;17 of 32;11 of 38;11 of 14;4 of 4;15 of 17;0 of 0;Could Not Continue;1;4:37;3 Rnd (5-5-5);Herb Dean;March 13, 2021;Las Vegas, Nevada, USA;Middleweight Bout;
Angela Hill;Ashley Yoder;0;0;77 of 135;34 of 116;57%;29%;97 of 165;53 of 143;1 of 3;2 of 6;33%;33%;0;0;0;0;3:52;2:39;26 of 63;17 of 85;35 of 54;11 of 21;16 of 18;6 of 10;47 of 98;34 of 115;29 of 33;0 of 1;1 of 4;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mike Beltran;March 13, 2021;Las Vegas, Nevada, USA;Women's Strawweight Bout;Angela Hill
Jonathan Martinez;Davey Grant;1;1;29 of 71;48 of 110;40%;43%;29 of 71;49 of 111;0 of 0;0 of 1;---;0%;0;0;0;0;0:25;0:03;16 of 57;14 of 64;5 of 6;19 of 30;8 of 8;15 of 16;26 of 66;46 of 108;0 of 0;0 of 0;3 of 5;2 of 2;KO/TKO;2;3:03;3 Rnd (5-5-5);Chris Tognoni;March 13, 2021;Las Vegas, Nevada, USA;Bantamweight Bout;Davey Grant
Dan Ige;Gavin Tucker;1;0;1 of 4;1 of 1;25%;100%;1 of 4;1 of 1;0 of 0;0 of 0;---;---;0;0;0;0;0:01;0:00;1 of 4;0 of 0;0 of 0;0 of 0;0 of 0;1 of 1;1 of 4;1 of 1;0 of 0;0 of 0;0 of 0;0 of 0;KO/TKO;1;0:22;3 Rnd (5-5-5);Mike Beltran;March 13, 2021;Las Vegas, Nevada, USA;Featherweight Bout;Dan Ige
Nasrat Haqparast;Rafa Garcia;0;0;99 of 217;52 of 217;45%;23%;99 of 218;54 of 219;0 of 2;0 of 3;0%;0%;0;0;0;0;0:00;0:21;60 of 170;32 of 186;38 of 45;15 of 24;1 of 2;5 of 7;99 of 217;48 of 211;0 of 0;4 of 6;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;March 13, 2021;Las Vegas, Nevada, USA;Lightweight Bout;Nasrat Haqparast
Cortney Casey;JJ Aldrich;0;0;55 of 131;45 of 80;41%;56%;121 of 202;58 of 99;0 of 1;4 of 7;0%;57%;0;0;0;0;0:02;5:44;35 of 107;41 of 74;9 of 12;4 of 6;11 of 12;0 of 0;45 of 114;36 of 64;10 of 17;4 of 7;0 of 0;5 of 9;Decision - Split;3;5:00;3 Rnd (5-5-5);Mark Smith;March 13, 2021;Las Vegas, Nevada, USA;Women's Flyweight Bout;JJ Aldrich
Matthew Semelsberger;Jason Witt;1;0;3 of 5;4 of 4;60%;100%;3 of 5;4 of 4;0 of 0;0 of 0;---;---;0;0;0;0;0:02;0:00;2 of 4;2 of 2;0 of 0;0 of 0;1 of 1;2 of 2;2 of 2;4 of 4;0 of 0;0 of 0;1 of 3;0 of 0;KO/TKO;1;0:16;3 Rnd (5-5-5);Chris Tognoni;March 13, 2021;Las Vegas, Nevada, USA;Welterweight Bout;Matthew Semelsberger
Rani Yahya;Ray Rodriguez;0;0;8 of 13;3 of 18;61%;16%;42 of 65;15 of 35;2 of 4;0 of 0;50%;---;1;0;0;0;7:00;0:00;0 of 3;2 of 16;1 of 2;1 of 2;7 of 8;0 of 0;8 of 13;3 of 18;0 of 0;0 of 0;0 of 0;0 of 0;Submission;2;3:09;3 Rnd (5-5-5);Herb Dean;March 13, 2021;Las Vegas, Nevada, USA;Bantamweight Bout;Rani Yahya
Gloria de Paula;Jinh Yu Frey;0;0;31 of 63;24 of 79;49%;30%;51 of 95;50 of 125;0 of 0;2 of 3;---;66%;0;2;0;0;0:05;9:33;18 of 48;10 of 62;7 of 9;3 of 5;6 of 6;11 of 12;27 of 59;17 of 70;4 of 4;1 of 1;0 of 0;6 of 8;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mike Beltran;March 13, 2021;Las Vegas, Nevada, USA;Women's Strawweight Bout;Jinh Yu Frey
Dominick Cruz;Casey Kenney;0;0;89 of 202;74 of 193;44%;38%;115 of 229;74 of 193;2 of 9;0 of 2;22%;0%;0;0;0;0;2:07;0:26;51 of 151;41 of 148;24 of 35;10 of 19;14 of 16;23 of 26;85 of 197;72 of 191;4 of 4;2 of 2;0 of 1;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Jason Herzog;March 06, 2021;Las Vegas, Nevada, USA;Bantamweight Bout;Dominick Cruz
Song Yadong;Kyler Phillips;0;0;67 of 161;59 of 142;41%;41%;89 of 189;69 of 152;0 of 0;3 of 5;---;60%;0;0;1;0;1:06;1:36;39 of 120;38 of 112;20 of 32;16 of 23;8 of 9;5 of 7;67 of 158;54 of 137;0 of 1;2 of 2;0 of 2;3 of 3;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;March 06, 2021;Las Vegas, Nevada, USA;Bantamweight Bout;Kyler Phillips
Petr Yan;Aljamain Sterling;1;0;86 of 137;97 of 230;62%;42%;103 of 157;119 of 260;7 of 7;1 of 17;100%;5%;0;0;0;1;4:12;3:25;48 of 96;40 of 154;21 of 24;43 of 60;17 of 17;14 of 16;64 of 106;79 of 207;12 of 18;13 of 14;10 of 13;5 of 9;DQ;4;4:29;5 Rnd (5-5-5-5-5);Mark Smith;March 06, 2021;Las Vegas, Nevada, USA;UFC Bantamweight Title Bout;Aljamain Sterling
Jan Blachowicz;Israel Adesanya;0;0;107 of 193;78 of 161;55%;48%;184 of 276;99 of 182;3 of 5;0 of 0;60%;---;0;0;0;0;7:06;0:01;67 of 146;32 of 102;29 of 33;17 of 23;11 of 14;29 of 36;85 of 169;77 of 158;6 of 6;0 of 1;16 of 18;1 of 2;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Herb Dean;March 06, 2021;Las Vegas, Nevada, USA;UFC Light Heavyweight Title Bout;Jan Blachowicz
Thiago Santos;Aleksandar Rakic;0;0;49 of 97;36 of 89;50%;40%;61 of 109;50 of 103;0 of 1;0 of 2;0%;0%;0;0;0;0;0:00;2:32;10 of 41;8 of 47;23 of 33;13 of 16;16 of 23;15 of 26;35 of 82;29 of 82;14 of 15;7 of 7;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;March 06, 2021;Las Vegas, Nevada, USA;Light Heavyweight Bout;Aleksandar Rakic
Joseph Benavidez;Askar Askarov;0;0;46 of 114;58 of 88;40%;65%;61 of 130;71 of 107;0 of 0;5 of 6;---;83%;0;0;0;0;0:00;5:00;13 of 57;39 of 65;21 of 41;14 of 18;12 of 16;5 of 5;41 of 108;50 of 77;4 of 5;4 of 5;1 of 1;4 of 6;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;March 06, 2021;Las Vegas, Nevada, USA;Flyweight Bout;Askar Askarov
Amanda Nunes;Megan Anderson;0;0;18 of 25;2 of 5;72%;40%;19 of 26;2 of 5;0 of 0;0 of 1;---;0%;2;0;0;0;0:42;0:00;15 of 22;0 of 3;0 of 0;1 of 1;3 of 3;1 of 1;10 of 16;2 of 5;0 of 0;0 of 0;8 of 9;0 of 0;Submission;1;2:03;5 Rnd (5-5-5-5-5);Jason Herzog;March 06, 2021;Las Vegas, Nevada, USA;UFC Women's Featherweight Title Bout;Amanda Nunes
Islam Makhachev;Drew Dober;0;0;15 of 25;10 of 20;60%;50%;102 of 119;14 of 24;3 of 4;0 of 0;75%;---;2;0;0;0;9:26;0:12;12 of 22;5 of 15;2 of 2;3 of 3;1 of 1;2 of 2;5 of 14;6 of 14;1 of 1;1 of 1;9 of 10;3 of 5;Submission;3;1:37;3 Rnd (5-5-5);Chris Tognoni;March 06, 2021;Las Vegas, Nevada, USA;Lightweight Bout;Islam Makhachev
Tim Elliott;Jordan Espinosa;0;0;25 of 44;13 of 25;56%;52%;91 of 120;22 of 35;4 of 7;0 of 0;57%;---;0;0;0;0;13:19;0:00;14 of 27;7 of 18;10 of 14;4 of 4;1 of 3;2 of 3;4 of 17;6 of 15;6 of 9;4 of 5;15 of 18;3 of 5;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;March 06, 2021;Las Vegas, Nevada, USA;Flyweight Bout;Tim Elliott
Livinha Souza;Amanda Lemos;0;2;1 of 7;29 of 46;14%;63%;1 of 7;30 of 47;0 of 0;0 of 0;---;---;0;0;0;0;0:00;1:13;0 of 4;22 of 37;0 of 1;3 of 5;1 of 2;4 of 4;1 of 7;12 of 22;0 of 0;0 of 0;0 of 0;17 of 24;KO/TKO;1;3:39;3 Rnd (5-5-5);Jason Herzog;March 06, 2021;Las Vegas, Nevada, USA;Women's Strawweight Bout;Amanda Lemos
Rogerio Bontorin;Kai Kara-France;0;1;6 of 17;13 of 22;35%;59%;27 of 43;21 of 32;1 of 1;0 of 0;100%;---;2;0;0;0;3:15;0:01;5 of 16;8 of 17;1 of 1;2 of 2;0 of 0;3 of 3;5 of 16;11 of 20;0 of 0;2 of 2;1 of 1;0 of 0;KO/TKO;1;4:55;3 Rnd (5-5-5);Herb Dean;March 06, 2021;Las Vegas, Nevada, USA;Flyweight Bout;Kai Kara-France
Uros Medic;Aalon Cruz;1;0;45 of 63;0 of 3;71%;0%;55 of 74;0 of 3;0 of 0;0 of 2;---;0%;0;0;0;0;0:56;0:11;43 of 61;0 of 2;1 of 1;0 of 1;1 of 1;0 of 0;7 of 8;0 of 3;3 of 3;0 of 0;35 of 52;0 of 0;KO/TKO;1;1:40;3 Rnd (5-5-5);Mark Smith;March 06, 2021;Las Vegas, Nevada, USA;Lightweight Bout;Uros Medic
Kennedy Nzechukwu;Carlos Ulberg;1;0;82 of 148;146 of 227;55%;64%;84 of 150;146 of 227;0 of 1;0 of 0;0%;---;0;0;0;0;0:05;0:05;81 of 144;101 of 175;1 of 4;31 of 37;0 of 0;14 of 15;72 of 132;132 of 210;3 of 8;14 of 17;7 of 8;0 of 0;KO/TKO;2;3:19;3 Rnd (5-5-5);Herb Dean;March 06, 2021;Las Vegas, Nevada, USA;Light Heavyweight Bout;Kennedy Nzechukwu
Sean Brady;Jake Matthews;0;0;37 of 68;21 of 84;54%;25%;133 of 187;32 of 95;1 of 1;0 of 0;100%;---;1;0;1;0;8:08;0:04;23 of 52;17 of 76;1 of 1;3 of 7;13 of 15;1 of 1;21 of 49;19 of 82;0 of 0;0 of 0;16 of 19;2 of 2;Submission;3;3:28;3 Rnd (5-5-5);Chris Tognoni;March 06, 2021;Las Vegas, Nevada, USA;Welterweight Bout;Sean Brady
Mario Bautista;Trevin Jones;0;1;21 of 42;23 of 30;50%;76%;43 of 64;36 of 44;0 of 0;0 of 3;---;0%;0;0;0;0;0:09;1:26;11 of 27;11 of 18;6 of 11;1 of 1;4 of 4;11 of 11;16 of 35;17 of 22;5 of 7;2 of 2;0 of 0;4 of 6;KO/TKO;2;0:47;3 Rnd (5-5-5);Chris Tognoni;March 06, 2021;Las Vegas, Nevada, USA;Bantamweight Bout;Trevin Jones
Jairzinho Rozenstruik;Ciryl Gane;0;0;42 of 104;102 of 176;40%;57%;49 of 111;128 of 202;0 of 0;2 of 14;---;14%;0;0;0;0;0:00;4:29;14 of 69;33 of 83;5 of 6;23 of 32;23 of 29;46 of 61;38 of 97;98 of 172;4 of 7;3 of 3;0 of 0;1 of 1;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Herb Dean;February 27, 2021;Las Vegas, Nevada, USA;Heavyweight Bout;Ciryl Gane
Montana De La Rosa;Mayra Bueno Silva;0;0;30 of 72;52 of 80;41%;65%;107 of 156;111 of 142;3 of 12;0 of 0;25%;---;0;1;0;0;9:12;1:04;19 of 56;28 of 53;11 of 16;22 of 23;0 of 0;2 of 4;23 of 63;20 of 40;5 of 6;29 of 36;2 of 3;3 of 4;Decision - Majority;3;5:00;3 Rnd (5-5-5);Jerin Valel;February 27, 2021;Las Vegas, Nevada, USA;Women's Flyweight Bout;
Vince Cachero;Ronnie Lawrence;0;0;15 of 46;77 of 121;32%;63%;23 of 55;102 of 151;0 of 2;8 of 9;0%;88%;1;0;1;0;0:36;7:49;8 of 36;53 of 89;3 of 6;14 of 19;4 of 4;10 of 13;10 of 38;22 of 46;5 of 7;5 of 7;0 of 1;50 of 68;KO/TKO;3;2:38;3 Rnd (5-5-5);Jerin Valel;February 27, 2021;Las Vegas, Nevada, USA;Bantamweight Bout;Ronnie Lawrence
Alexander Hernandez;Thiago Moises;0;0;50 of 205;53 of 183;24%;28%;50 of 205;53 of 183;0 of 0;0 of 1;---;0%;0;0;0;0;0:00;0:00;15 of 152;36 of 155;18 of 33;5 of 11;17 of 20;12 of 17;50 of 204;53 of 183;0 of 1;0 of 0;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;February 27, 2021;Las Vegas, Nevada, USA;Lightweight Bout;Thiago Moises
Pedro Munhoz;Jimmie Rivera;0;0;94 of 194;65 of 193;48%;33%;94 of 194;65 of 193;0 of 0;1 of 5;---;20%;0;0;0;0;0:03;0:04;35 of 115;48 of 168;19 of 27;4 of 8;40 of 52;13 of 17;93 of 193;65 of 193;1 of 1;0 of 0;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;February 27, 2021;Las Vegas, Nevada, USA;Bantamweight Bout;Pedro Munhoz
Alex Caceres;Kevin Croom;0;0;48 of 68;16 of 51;70%;31%;97 of 121;26 of 67;1 of 1;1 of 16;100%;6%;1;0;1;1;3:44;7:32;33 of 49;10 of 44;11 of 13;1 of 2;4 of 6;5 of 5;30 of 46;14 of 46;12 of 14;2 of 5;6 of 8;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;February 27, 2021;Las Vegas, Nevada, USA;Featherweight Bout;Alex Caceres
Alexis Davis;Sabina Mazo;0;0;49 of 83;64 of 165;59%;38%;128 of 196;71 of 173;3 of 3;0 of 1;100%;0%;0;0;0;0;8:50;0:00;8 of 37;50 of 149;4 of 5;5 of 7;37 of 41;9 of 9;46 of 78;64 of 165;0 of 0;0 of 0;3 of 5;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;February 27, 2021;Las Vegas, Nevada, USA;Women's Bantamweight Bout;Alexis Davis
Nikita Krylov;Magomed Ankalaev;0;0;47 of 120;43 of 92;39%;46%;58 of 132;89 of 143;1 of 6;3 of 9;16%;33%;0;0;0;0;1:44;5:59;18 of 78;37 of 83;22 of 34;4 of 7;7 of 8;2 of 2;45 of 116;29 of 76;2 of 4;2 of 2;0 of 0;12 of 14;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;February 27, 2021;Las Vegas, Nevada, USA;Light Heavyweight Bout;Magomed Ankalaev
Dustin Jacoby;Maxim Grishin;0;2;57 of 137;66 of 156;41%;42%;60 of 141;80 of 172;0 of 0;0 of 2;---;0%;0;0;0;0;0:48;1:16;25 of 88;31 of 110;7 of 15;8 of 16;25 of 34;27 of 30;55 of 133;59 of 144;2 of 4;2 of 5;0 of 0;5 of 7;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;February 27, 2021;Las Vegas, Nevada, USA;Light Heavyweight Bout;Dustin Jacoby
Aleksei Oleinik;Chris Daukaus;0;0;5 of 10;34 of 56;50%;60%;6 of 11;34 of 56;0 of 1;0 of 0;0%;---;0;0;0;0;0:24;0:19;3 of 8;32 of 54;1 of 1;2 of 2;1 of 1;0 of 0;5 of 10;28 of 49;0 of 0;2 of 3;0 of 0;4 of 4;KO/TKO;1;1:55;3 Rnd (5-5-5);Herb Dean;February 20, 2021;Las Vegas, Nevada, USA;Heavyweight Bout;Chris Daukaus
Charles Rosa;Darrick Minner;0;1;15 of 25;45 of 60;60%;75%;40 of 51;96 of 117;0 of 1;4 of 5;0%;80%;2;3;0;0;0:00;12:34;9 of 17;35 of 49;4 of 4;5 of 5;2 of 4;5 of 6;8 of 17;21 of 31;0 of 0;5 of 7;7 of 8;19 of 22;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;February 20, 2021;Las Vegas, Nevada, USA;Featherweight Bout;Darrick Minner
Phil Hawes;Nassourdine Imavov;0;0;31 of 54;57 of 93;57%;61%;101 of 128;87 of 124;4 of 7;0 of 0;57%;---;0;0;0;0;11:06;0:07;13 of 31;39 of 71;7 of 9;14 of 17;11 of 14;4 of 5;23 of 42;29 of 62;7 of 11;27 of 30;1 of 1;1 of 1;Decision - Majority;3;5:00;3 Rnd (5-5-5);Chris Tognoni;February 20, 2021;Las Vegas, Nevada, USA;Middleweight Bout;Phil Hawes
Curtis Blaydes;Derrick Lewis;0;1;28 of 52;7 of 23;53%;30%;28 of 52;7 of 23;0 of 3;0 of 0;0%;---;0;0;0;0;0:15;0:00;18 of 42;6 of 21;3 of 3;1 of 2;7 of 7;0 of 0;25 of 47;4 of 20;3 of 5;1 of 1;0 of 0;2 of 2;KO/TKO;2;1:26;5 Rnd (5-5-5-5-5);Herb Dean;February 20, 2021;Las Vegas, Nevada, USA;Heavyweight Bout;Derrick Lewis
Eddie Wineland;John Castaneda;0;1;17 of 66;42 of 57;25%;73%;17 of 66;44 of 59;1 of 1;0 of 0;100%;---;0;0;0;0;0:12;0:04;10 of 50;23 of 34;3 of 6;4 of 7;4 of 10;15 of 16;16 of 63;34 of 49;0 of 0;2 of 2;1 of 3;6 of 6;KO/TKO;1;4:44;3 Rnd (5-5-5);Jason Herzog;February 20, 2021;Las Vegas, Nevada, USA;Bantamweight Bout;John Castaneda
Andrei Arlovski;Tom Aspinall;0;0;20 of 55;37 of 60;36%;61%;22 of 57;41 of 64;0 of 0;1 of 1;---;100%;0;1;0;0;0:00;2:17;8 of 40;22 of 44;7 of 9;6 of 7;5 of 6;9 of 9;17 of 49;24 of 40;3 of 6;13 of 20;0 of 0;0 of 0;Submission;2;1:09;3 Rnd (5-5-5);Mark Smith;February 20, 2021;Las Vegas, Nevada, USA;Heavyweight Bout;Tom Aspinall
Jared Gordon;Danny Chavez;0;0;82 of 131;39 of 113;62%;34%;138 of 191;42 of 116;2 of 7;1 of 1;28%;100%;0;0;0;0;6:07;0:10;41 of 89;23 of 91;19 of 20;5 of 8;22 of 22;11 of 14;67 of 110;38 of 112;6 of 8;1 of 1;9 of 13;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;February 20, 2021;Las Vegas, Nevada, USA;Featherweight Bout;Jared Gordon
Ketlen Vieira;Yana Kunitskaya;0;0;7 of 16;47 of 60;43%;78%;35 of 51;215 of 247;3 of 8;0 of 0;37%;---;0;0;0;0;8:38;5:09;3 of 10;7 of 15;3 of 4;30 of 35;1 of 2;10 of 10;3 of 11;8 of 11;4 of 5;21 of 24;0 of 0;18 of 25;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;February 20, 2021;Las Vegas, Nevada, USA;Women's Bantamweight Bout;Yana Kunitskaya
Aiemann Zahabi;Drako Rodriguez;1;0;9 of 11;11 of 33;81%;33%;9 of 11;13 of 35;0 of 0;0 of 0;---;---;0;0;0;0;0:10;0:00;8 of 10;6 of 27;1 of 1;1 of 2;0 of 0;4 of 4;6 of 7;8 of 30;1 of 2;3 of 3;2 of 2;0 of 0;KO/TKO;1;3:05;3 Rnd (5-5-5);Mark Smith;February 20, 2021;Las Vegas, Nevada, USA;Bantamweight Bout;Aiemann Zahabi
Serghei Spivac;Jared Vanderaa;0;0;51 of 72;13 of 24;70%;54%;107 of 135;27 of 38;3 of 3;0 of 0;100%;---;0;0;0;0;8:29;0:00;51 of 72;8 of 19;0 of 0;3 of 3;0 of 0;2 of 2;7 of 17;11 of 22;0 of 0;2 of 2;44 of 55;0 of 0;KO/TKO;2;4:32;3 Rnd (5-5-5);Chris Tognoni;February 20, 2021;Las Vegas, Nevada, USA;Heavyweight Bout;Serghei Spivac
